Market,DealerCode,DealerName
HU,D00000,Dealer_0
NL,D00001,Dealer_1
DE,D00002,Dealer_2
FR,D00003,Dealer_3
HU,D00004,Dealer_4
NL,D00005,Dealer_5
DE,D00006,Dealer_6
FR,D00007,Dealer_7
HU,D00008,Dealer_8
NL,D00009,Dealer_9
DE,D00010,Dealer_10
FR,D00011,Dealer_11
HU,D00012,Dealer_12
NL,D00013,Dealer_13
DE,D00014,Dealer_14
FR,D00015,Dealer_15
HU,D00016,Dealer_16
NL,D00017,Dealer_17
DE,D00018,Dealer_18
FR,D00019,Dealer_19
HU,D00020,Dealer_20
NL,D00021,Dealer_21
DE,D00022,Dealer_22
FR,D00023,Dealer_23
HU,D00024,Dealer_24
NL,D00025,Dealer_25
DE,D00026,Dealer_26
FR,D00027,Dealer_27
HU,D00028,Dealer_28
NL,D00029,Dealer_29
DE,D00030,Dealer_30
FR,D00031,Dealer_31
HU,D00032,Dealer_32
NL,D00033,Dealer_33
DE,D00034,Dealer_34
FR,D00035,Dealer_35
HU,D00036,Dealer_36
NL,D00037,Dealer_37
DE,D00038,Dealer_38
FR,D00039,Dealer_39
HU,D00040,Dealer_40
NL,D00041,Dealer_41
DE,D00042,Dealer_42
FR,D00043,Dealer_43
HU,D00044,Dealer_44
NL,D00045,Dealer_45
DE,D00046,Dealer_46
FR,D00047,Dealer_47
HU,D00048,Dealer_48
NL,D00049,Dealer_49
DE,D00050,Dealer_50
FR,D00051,Dealer_51
HU,D00052,Dealer_52
NL,D00053,Dealer_53
DE,D00054,Dealer_54
FR,D00055,Dealer_55
HU,D00056,Dealer_56
NL,D00057,Dealer_57
DE,D00058,Dealer_58
FR,D00059,Dealer_59
HU,D00060,Dealer_60
NL,D00061,Dealer_61
DE,D00062,Dealer_62
FR,D00063,Dealer_63
HU,D00064,Dealer_64
NL,D00065,Dealer_65
DE,D00066,Dealer_66
FR,D00067,Dealer_67
HU,D00068,Dealer_68
NL,D00069,Dealer_69
DE,D00070,Dealer_70
FR,D00071,Dealer_71
HU,D00072,Dealer_72
NL,D00073,Dealer_73
DE,D00074,Dealer_74
FR,D00075,Dealer_75
HU,D00076,Dealer_76
NL,D00077,Dealer_77
DE,D00078,Dealer_78
FR,D00079,Dealer_79
HU,D00080,Dealer_80
NL,D00081,Dealer_81
DE,D00082,Dealer_82
FR,D00083,Dealer_83
HU,D00084,Dealer_84
NL,D00085,Dealer_85
DE,D00086,Dealer_86
FR,D00087,Dealer_87
HU,D00088,Dealer_88
NL,D00089,Dealer_89
DE,D00090,Dealer_90
FR,D00091,Dealer_91
HU,D00092,Dealer_92
NL,D00093,Dealer_93
DE,D00094,Dealer_94
FR,D00095,Dealer_95
HU,D00096,Dealer_96
NL,D00097,Dealer_97
DE,D00098,Dealer_98
FR,D00099,Dealer_99
HU,D00100,Dealer_100
NL,D00101,Dealer_101
DE,D00102,Dealer_102
FR,D00103,Dealer_103
HU,D00104,Dealer_104
NL,D00105,Dealer_105
DE,D00106,Dealer_106
FR,D00107,Dealer_107
HU,D00108,Dealer_108
NL,D00109,Dealer_109
DE,D00110,Dealer_110
FR,D00111,Dealer_111
HU,D00112,Dealer_112
NL,D00113,Dealer_113
DE,D00114,Dealer_114
FR,D00115,Dealer_115
HU,D00116,Dealer_116
NL,D00117,Dealer_117
DE,D00118,Dealer_118
FR,D00119,Dealer_119
HU,D00120,Dealer_120
NL,D00121,Dealer_121
DE,D00122,Dealer_122
FR,D00123,Dealer_123
HU,D00124,Dealer_124
NL,D00125,Dealer_125
DE,D00126,Dealer_126
FR,D00127,Dealer_127
HU,D00128,Dealer_128
NL,D00129,Dealer_129
DE,D00130,Dealer_130
FR,D00131,Dealer_131
HU,D00132,Dealer_132
NL,D00133,Dealer_133
DE,D00134,Dealer_134
FR,D00135,Dealer_135
HU,D00136,Dealer_136
NL,D00137,Dealer_137
DE,D00138,Dealer_138
FR,D00139,Dealer_139
HU,D00140,Dealer_140
NL,D00141,Dealer_141
DE,D00142,Dealer_142
FR,D00143,Dealer_143
HU,D00144,Dealer_144
NL,D00145,Dealer_145
DE,D00146,Dealer_146
FR,D00147,Dealer_147
HU,D00148,Dealer_148
NL,D00149,Dealer_149
DE,D00150,Dealer_150
FR,D00151,Dealer_151
HU,D00152,Dealer_152
NL,D00153,Dealer_153
DE,D00154,Dealer_154
FR,D00155,Dealer_155
HU,D00156,Dealer_156
NL,D00157,Dealer_157
DE,D00158,Dealer_158
FR,D00159,Dealer_159
HU,D00160,Dealer_160
NL,D00161,Dealer_161
DE,D00162,Dealer_162
FR,D00163,Dealer_163
HU,D00164,Dealer_164
NL,D00165,Dealer_165
DE,D00166,Dealer_166
FR,D00167,Dealer_167
HU,D00168,Dealer_168
NL,D00169,Dealer_169
DE,D00170,Dealer_170
FR,D00171,Dealer_171
HU,D00172,Dealer_172
NL,D00173,Dealer_173
DE,D00174,Dealer_174
FR,D00175,Dealer_175
HU,D00176,Dealer_176
NL,D00177,Dealer_177
DE,D00178,Dealer_178
FR,D00179,Dealer_179
HU,D00180,Dealer_180
NL,D00181,Dealer_181
DE,D00182,Dealer_182
FR,D00183,Dealer_183
HU,D00184,Dealer_184
NL,D00185,Dealer_185
DE,D00186,Dealer_186
FR,D00187,Dealer_187
HU,D00188,Dealer_188
NL,D00189,Dealer_189
DE,D00190,Dealer_190
FR,D00191,Dealer_191
HU,D00192,Dealer_192
NL,D00193,Dealer_193
DE,D00194,Dealer_194
FR,D00195,Dealer_195
HU,D00196,Dealer_196
NL,D00197,Dealer_197
DE,D00198,Dealer_198
FR,D00199,Dealer_199
HU,D00200,Dealer_200
NL,D00201,Dealer_201
DE,D00202,Dealer_202
FR,D00203,Dealer_203
HU,D00204,Dealer_204
NL,D00205,Dealer_205
DE,D00206,Dealer_206
FR,D00207,Dealer_207
HU,D00208,Dealer_208
NL,D00209,Dealer_209
DE,D00210,Dealer_210
FR,D00211,Dealer_211
HU,D00212,Dealer_212
NL,D00213,Dealer_213
DE,D00214,Dealer_214
FR,D00215,Dealer_215
HU,D00216,Dealer_216
NL,D00217,Dealer_217
DE,D00218,Dealer_218
FR,D00219,Dealer_219
HU,D00220,Dealer_220
NL,D00221,Dealer_221
DE,D00222,Dealer_222
FR,D00223,Dealer_223
HU,D00224,Dealer_224
NL,D00225,Dealer_225
DE,D00226,Dealer_226
FR,D00227,Dealer_227
HU,D00228,Dealer_228
NL,D00229,Dealer_229
DE,D00230,Dealer_230
FR,D00231,Dealer_231
HU,D00232,Dealer_232
NL,D00233,Dealer_233
DE,D00234,Dealer_234
FR,D00235,Dealer_235
HU,D00236,Dealer_236
NL,D00237,Dealer_237
DE,D00238,Dealer_238
FR,D00239,Dealer_239
HU,D00240,Dealer_240
NL,D00241,Dealer_241
DE,D00242,Dealer_242
FR,D00243,Dealer_243
HU,D00244,Dealer_244
NL,D00245,Dealer_245
DE,D00246,Dealer_246
FR,D00247,Dealer_247
HU,D00248,Dealer_248
NL,D00249,Dealer_249
DE,D00250,Dealer_250
FR,D00251,Dealer_251
HU,D00252,Dealer_252
NL,D00253,Dealer_253
DE,D00254,Dealer_254
FR,D00255,Dealer_255
HU,D00256,Dealer_256
NL,D00257,Dealer_257
DE,D00258,Dealer_258
FR,D00259,Dealer_259
HU,D00260,Dealer_260
NL,D00261,Dealer_261
DE,D00262,Dealer_262
FR,D00263,Dealer_263
HU,D00264,Dealer_264
NL,D00265,Dealer_265
DE,D00266,Dealer_266
FR,D00267,Dealer_267
HU,D00268,Dealer_268
NL,D00269,Dealer_269
DE,D00270,Dealer_270
FR,D00271,Dealer_271
HU,D00272,Dealer_272
NL,D00273,Dealer_273
DE,D00274,Dealer_274
FR,D00275,Dealer_275
HU,D00276,Dealer_276
NL,D00277,Dealer_277
DE,D00278,Dealer_278
FR,D00279,Dealer_279
HU,D00280,Dealer_280
NL,D00281,Dealer_281
DE,D00282,Dealer_282
FR,D00283,Dealer_283
HU,D00284,Dealer_284
NL,D00285,Dealer_285
DE,D00286,Dealer_286
FR,D00287,Dealer_287
HU,D00288,Dealer_288
NL,D00289,Dealer_289
DE,D00290,Dealer_290
FR,D00291,Dealer_291
HU,D00292,Dealer_292
NL,D00293,Dealer_293
DE,D00294,Dealer_294
FR,D00295,Dealer_295
HU,D00296,Dealer_296
NL,D00297,Dealer_297
DE,D00298,Dealer_298
FR,D00299,Dealer_299
HU,D00300,Dealer_300
NL,D00301,Dealer_301
DE,D00302,Dealer_302
FR,D00303,Dealer_303
HU,D00304,Dealer_304
NL,D00305,Dealer_305
DE,D00306,Dealer_306
FR,D00307,Dealer_307
HU,D00308,Dealer_308
NL,D00309,Dealer_309
DE,D00310,Dealer_310
FR,D00311,Dealer_311
HU,D00312,Dealer_312
NL,D00313,Dealer_313
DE,D00314,Dealer_314
FR,D00315,Dealer_315
HU,D00316,Dealer_316
NL,D00317,Dealer_317
DE,D00318,Dealer_318
