Market,DealerCode,MLI,Month,Qty,Revenue
HU,D00000,1000,1,1,100
NL,D00001,1001,2,2,200
DE,D00002,1002,3,3,300
FR,D00003,1003,4,4,400
HU,D00004,1004,5,5,500
NL,D00005,1005,6,6,600
DE,D00006,1006,7,7,700
FR,D00007,1007,8,8,800
HU,D00008,1008,9,9,900
NL,D00009,1009,10,10,1000
DE,D00010,1010,11,11,1100
FR,D00011,1011,12,12,1200
HU,D00012,1012,1,13,1300
NL,D00013,1013,2,14,1400
DE,D00014,1014,3,15,1500
FR,D00015,1015,4,16,1600
HU,D00016,1016,5,17,1700
NL,D00017,1017,6,18,1800
DE,D00018,1018,7,19,1900
FR,D00019,1019,8,20,2000
HU,D00020,1020,9,21,2100
NL,D00021,1021,10,22,2200
DE,D00022,1022,11,23,2300
FR,D00023,1023,12,24,2400
HU,D00024,1024,1,25,2500
NL,D00025,1025,2,26,2600
DE,D00026,1026,3,27,2700
FR,D00027,1027,4,28,2800
HU,D00028,1028,5,29,2900
NL,D00029,1029,6,30,3000
DE,D00030,1030,7,31,3100
FR,D00031,1031,8,32,3200
HU,D00032,1032,9,33,3300
NL,D00033,1033,10,34,3400
DE,D00034,1034,11,35,3500
FR,D00035,1035,12,36,3600
HU,D00036,1036,1,37,3700
NL,D00037,1037,2,38,3800
DE,D00038,1038,3,39,3900
FR,D00039,1039,4,40,4000
HU,D00040,1040,5,41,4100
NL,D00041,1041,6,42,4200
DE,D00042,1042,7,43,4300
FR,D00043,1043,8,44,4400
HU,D00044,1044,9,45,4500
NL,D00045,1045,10,46,4600
DE,D00046,1046,11,47,4700
FR,D00047,1047,12,48,4800
HU,D00048,1048,1,49,4900
NL,D00049,1049,2,50,5000
DE,D00050,1050,3,1,100
FR,D00051,1051,4,2,200
HU,D00052,1052,5,3,300
NL,D00053,1053,6,4,400
DE,D00054,1054,7,5,500
FR,D00055,1055,8,6,600
HU,D00056,1056,9,7,700
NL,D00057,1057,10,8,800
DE,D00058,1058,11,9,900
FR,D00059,1059,12,10,1000
HU,D00060,1060,1,11,1100
NL,D00061,1061,2,12,1200
DE,D00062,1062,3,13,1300
FR,D00063,1063,4,14,1400
HU,D00064,1064,5,15,1500
NL,D00065,1065,6,16,1600
DE,D00066,1066,7,17,1700
FR,D00067,1067,8,18,1800
HU,D00068,1068,9,19,1900
NL,D00069,1069,10,20,2000
DE,D00070,1070,11,21,2100
FR,D00071,1071,12,22,2200
HU,D00072,1072,1,23,2300
NL,D00073,1073,2,24,2400
DE,D00074,1074,3,25,2500
FR,D00075,1075,4,26,2600
HU,D00076,1076,5,27,2700
NL,D00077,1077,6,28,2800
DE,D00078,1078,7,29,2900
FR,D00079,1079,8,30,3000
HU,D00080,1080,9,31,3100
NL,D00081,1081,10,32,3200
DE,D00082,1082,11,33,3300
FR,D00083,1083,12,34,3400
HU,D00084,1084,1,35,3500
NL,D00085,1085,2,36,3600
DE,D00086,1086,3,37,3700
FR,D00087,1087,4,38,3800
HU,D00088,1088,5,39,3900
NL,D00089,1089,6,40,4000
DE,D00090,1090,7,41,4100
FR,D00091,1091,8,42,4200
HU,D00092,1092,9,43,4300
NL,D00093,1093,10,44,4400
DE,D00094,1094,11,45,4500
FR,D00095,1095,12,46,4600
HU,D00096,1096,1,47,4700
NL,D00097,1097,2,48,4800
DE,D00098,1098,3,49,4900
FR,D00099,1099,4,50,5000
HU,D00100,1100,5,1,100
NL,D00101,1101,6,2,200
DE,D00102,1102,7,3,300
FR,D00103,1103,8,4,400
HU,D00104,1104,9,5,500
NL,D00105,1105,10,6,600
DE,D00106,1106,11,7,700
FR,D00107,1107,12,8,800
HU,D00108,1108,1,9,900
NL,D00109,1109,2,10,1000
DE,D00110,1110,3,11,1100
FR,D00111,1111,4,12,1200
HU,D00112,1112,5,13,1300
NL,D00113,1113,6,14,1400
DE,D00114,1114,7,15,1500
FR,D00115,1115,8,16,1600
HU,D00116,1116,9,17,1700
NL,D00117,1117,10,18,1800
DE,D00118,1118,11,19,1900
FR,D00119,1119,12,20,2000
HU,D00120,1120,1,21,2100
NL,D00121,1121,2,22,2200
DE,D00122,1122,3,23,2300
FR,D00123,1123,4,24,2400
HU,D00124,1124,5,25,2500
NL,D00125,1125,6,26,2600
DE,D00126,1126,7,27,2700
FR,D00127,1127,8,28,2800
HU,D00128,1128,9,29,2900
NL,D00129,1129,10,30,3000
DE,D00130,1130,11,31,3100
FR,D00131,1131,12,32,3200
